canonical_url,date_published,domain,from_user_botscore,from_user_id,from_user_screen_name,id,is_mention,original_query,pub_date,site_domain,site_type,title,to_user_botscore,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,tweet_url,url_id,url_raw
,2022-11-04T21:54:21Z,,0.31,178463022,DavidRacero,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:21Z,,claim,,0.76,116856084,Dikarlosy,2022-11-04T21:54:21Z,1588650885730938881,retweet,https://twitter.com/DavidRacero/status/1588650885730938881,,
,2022-11-04T21:54:23Z,,0.28,1241127054306836486,IvonneMilenaGo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:23Z,,claim,,0.69,734485932817190913,mapicu5,2022-11-04T21:54:23Z,1588650896010973186,retweet,https://twitter.com/IvonneMilenaGo/status/1588650896010973186,,
,2022-11-04T21:54:25Z,,0.44,1069975233828917248,laurisarabia,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:25Z,,claim,,0.31,186520158,torres1951,2022-11-04T21:54:25Z,1588650901879001088,retweet,https://twitter.com/laurisarabia/status/1588650901879001088,,
,2022-11-04T21:54:26Z,,0.16,541020317,MiguelPoloP,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:26Z,,claim,,0.3,523605528,andrscast,2022-11-04T21:54:26Z,1588650906773602306,retweet,https://twitter.com/MiguelPoloP/status/1588650906773602306,,
,2022-11-04T21:54:27Z,,0.66,1394755085243138051,waldoalarconho1,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:27Z,,claim,,0.16,772503966,GaticoTwiteroS,2022-11-04T21:54:27Z,1588650908875108354,retweet,https://twitter.com/waldoalarconho1/status/1588650908875108354,,
,2022-11-04T21:54:28Z,,0.28,179722950,AlbertoBernalLe,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:28Z,,claim,,0.45,352724378,christianjnc85,2022-11-04T21:54:28Z,1588650913354465283,retweet,https://twitter.com/AlbertoBernalLe/status/1588650913354465283,,
,2022-11-04T21:54:31Z,,0.16,541020317,MiguelPoloP,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:31Z,,claim,,0.16,2648495855,gut_benjamin,2022-11-04T21:54:31Z,1588650929636753410,retweet,https://twitter.com/MiguelPoloP/status/1588650929636753410,,
,2022-11-04T21:54:32Z,,0.2,982090849864466433,MrCarvajalino,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:32Z,,claim,,0.95,1711548704,PazProgreso,2022-11-04T21:54:32Z,1588650931696340992,retweet,https://twitter.com/MrCarvajalino/status/1588650931696340992,,
,2022-11-04T21:54:35Z,,0.55,9633802,ELTIEMPO,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:35Z,,claim,,0.31,1308247862,ALH_Siyose,2022-11-04T21:54:35Z,1588650943994040320,retweet,https://twitter.com/ELTIEMPO/status/1588650943994040320,,
,2022-11-04T21:54:38Z,,0.33,49849732,petrogustavo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-04T21:54:38Z,,claim,,0.02,818622569880387586,chiscohiguera,2022-11-04T21:54:38Z,1588650958493339649,retweet,https://twitter.com/petrogustavo/status/1588650958493339649,,
